trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.44999999999999973, 'e': 0.697676326071031}",30,0,-69.98170595196868,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.4399999999999997, 'e': 0.6872892787909722}",25,0,-167.1273836385867,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
27,False,"{'a': 0.4299999999999997, 'e': 0.6770568744981647}",25,0,-106.96352334269474,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
28,False,"{'a': 0.4199999999999997, 'e': 0.6669768108584744}",30,13,-27.24213213231647,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.4099999999999997, 'e': 0.6570468198150567}",20,0,-19.35047944118294,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
30,False,"{'a': 0.3999999999999997, 'e': 0.6472646670780347}",20,2,-74.91238381548742,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
31,False,"{'a': 0.3899999999999997, 'e': 0.6376281516217733}",20,0,-28.986225118455103,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.37999999999999967, 'e': 0.6281351051896409}",25,11,-54.94830144996746,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.36999999999999966, 'e': 0.6187833918061408}",25,0,-236.14891731403597,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0
34,False,"{'a': 0.35999999999999965, 'e': 0.6095709072963093}",30,0,-87.4025369586765,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.34999999999999964, 'e': 0.6004955788122659}",20,12,2.7956856173723943,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.33999999999999964, 'e': 0.5915553643668151}",25,9,-57.67119025356859,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
37,False,"{'a': 0.3299999999999996, 'e': 0.5827482523739896}",30,17,-33.1610783644497,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
38,False,"{'a': 0.3199999999999996, 'e': 0.5740722611964361}",25,0,-59.46052517924603,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.3099999999999996, 'e': 0.5655254386995371}",20,0,-68.29051345687144,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.2999999999999996, 'e': 0.5571058618121739}",25,12,-55.07822999672689,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
41,False,"{'a': 0.2899999999999996, 'e': 0.5488116360940265}",25,0,-54.613378875620874,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.2799999999999996, 'e': 0.5406408953093166}",20,0,22.62909858780025,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.2699999999999996, 'e': 0.5325918010068972}",20,10,-6.913539610787475,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.25999999999999956, 'e': 0.5246625421065929}",25,0,-13.808950075810966,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.24999999999999956, 'e': 0.5168513344916993}",20,7,-8.787905632863245,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.23999999999999955, 'e': 0.5091564206075492}",25,0,-45.44460812737713,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.22999999999999954, 'e': 0.5015760690660556}",25,9,-21.902797129033836,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.21999999999999953, 'e': 0.4941085742561417}",20,0,-46.38277670272292,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.20999999999999952, 'e': 0.4867522559599717}",20,0,24.121343594885875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.1999999999999995, 'e': 0.4795054589748941}",30,21,13.90177427146703,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1999999999999995, 'e': 0.4723665527410147}",30,4,-0.22117040945879873,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.1999999999999995, 'e': 0.4653339309743134}",25,0,-93.14932643415113,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.1999999999999995, 'e': 0.4584060113052235}",20,8,7.900193014154739,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1999999999999995, 'e': 0.4515812349225923}",25,10,-61.126666348784724,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 1}",1
55,False,"{'a': 0.1999999999999995, 'e': 0.44485806622294116}",20,11,-41.54817269335817,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.1999999999999995, 'e': 0.43823499246494924}",20,0,-32.01119735809773,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.1999999999999995, 'e': 0.43171052342907973}",30,16,-38.8016164076051,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.1999999999999995, 'e': 0.42528319108227414}",25,5,-32.381781089496805,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
59,False,"{'a': 0.1999999999999995, 'e': 0.418951549247639}",20,7,-96.30741523125747,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
60,False,"{'a': 0.1999999999999995, 'e': 0.4127141732790497}",25,17,-48.97737754096352,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
61,False,"{'a': 0.1999999999999995, 'e': 0.40656965974059917}",25,15,-19.22538235739055,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.1999999999999995, 'e': 0.40051662609081884}",20,0,2.019949403822805,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.1999999999999995, 'e': 0.39455371037160114}",20,6,10.138705972553057,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.1999999999999995, 'e': 0.38867957090175304}",25,8,-38.31771836237496,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.1999999999999995, 'e': 0.38289288597511206}",30,24,15.370832817307747,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1999999999999995, 'e': 0.37719235356315695}",30,15,-7.710028541545968,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.1999999999999995, 'e': 0.3715766910220457}",20,12,9.756164065112548,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1999999999999995, 'e': 0.3660446348040154}",20,0,6.732835996716631,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.1999999999999995, 'e': 0.3605949401730783}",35,21,-10.398089729127346,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.1999999999999995, 'e': 0.3552263809249515}",35,5,-21.95407526725297,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.1999999999999995, 'e': 0.3499377491111553}",20,14,-12.372540142716327,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999995, 'e': 0.3447278547672202}",20,12,4.2431328664948476,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.1999999999999995, 'e': 0.3395955256449391}",30,20,5.467258978329649,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.1999999999999995, 'e': 0.3345396069486076}",25,5,-67.11162380008764,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
75,False,"{'a': 0.1999999999999995, 'e': 0.3295589610751891}",30,13,3.9875632289938814,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.1999999999999995, 'e': 0.32465246735834974}",25,6,-15.747126881723103,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.1999999999999995, 'e': 0.31981902181630395}",20,10,16.562362854370438,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999995, 'e': 0.3150575369034133}",35,23,-36.49741291099511,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.1999999999999995, 'e': 0.31036694126548503}",25,17,2.1938093693053737,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.1999999999999995, 'e': 0.30574617949871175}",35,23,9.81802763024617,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.1999999999999995, 'e': 0.30119421191220214}",25,13,21.339488548929744,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
